file_path,area,content_type,language,topic,priority,status,notes
src/data/graduations/10th-kyu.json,graduations,data-json,base,10th-kyu,high,not reviewed,
src/data/graduations/10th-kyu.nl.json,graduations,data-json,nl,10th-kyu,high,not reviewed,
src/data/graduations/1st-kyu.json,graduations,data-json,base,1st-kyu,high,not reviewed,
src/data/graduations/1st-kyu.nl.json,graduations,data-json,nl,1st-kyu,high,not reviewed,
src/data/graduations/2nd-kyu.json,graduations,data-json,base,2nd-kyu,high,not reviewed,
src/data/graduations/2nd-kyu.nl.json,graduations,data-json,nl,2nd-kyu,high,not reviewed,
src/data/graduations/3rd-kyu.json,graduations,data-json,base,3rd-kyu,high,not reviewed,
src/data/graduations/3rd-kyu.nl.json,graduations,data-json,nl,3rd-kyu,high,not reviewed,
src/data/graduations/4th-kyu.json,graduations,data-json,base,4th-kyu,high,not reviewed,
src/data/graduations/4th-kyu.nl.json,graduations,data-json,nl,4th-kyu,high,not reviewed,
src/data/graduations/5th-kyu.json,graduations,data-json,base,5th-kyu,high,not reviewed,
src/data/graduations/5th-kyu.nl.json,graduations,data-json,nl,5th-kyu,high,not reviewed,
src/data/graduations/6th-kyu.json,graduations,data-json,base,6th-kyu,high,not reviewed,
src/data/graduations/6th-kyu.nl.json,graduations,data-json,nl,6th-kyu,high,not reviewed,
src/data/graduations/7th-kyu.json,graduations,data-json,base,7th-kyu,high,not reviewed,
src/data/graduations/7th-kyu.nl.json,graduations,data-json,nl,7th-kyu,high,not reviewed,
src/data/graduations/8th-kyu.json,graduations,data-json,base,8th-kyu,high,not reviewed,
src/data/graduations/8th-kyu.nl.json,graduations,data-json,nl,8th-kyu,high,not reviewed,
src/data/graduations/9th-kyu.json,graduations,data-json,base,9th-kyu,high,not reviewed,
src/data/graduations/9th-kyu.nl.json,graduations,data-json,nl,9th-kyu,high,not reviewed,
src/data/graduations/shodan.json,graduations,data-json,base,shodan,high,not reviewed,
src/data/graduations/shodan.nl.json,graduations,data-json,nl,shodan,high,not reviewed,
src/data/hojoUndoData.ts,data,data-module,base,hojoUndoData,high,not reviewed,
src/data/index.ts,data,data-module,base,index,high,not reviewed,
src/data/kururunfa.da.ts,data,data-module,da,kururunfa,high,not reviewed,
src/data/kururunfa.de.ts,data,data-module,de,kururunfa,high,not reviewed,
src/data/kururunfa.en.ts,data,data-module,en,kururunfa,high,not reviewed,
src/data/kururunfa.es.ts,data,data-module,es,kururunfa,high,not reviewed,
src/data/kururunfa.fr.ts,data,data-module,fr,kururunfa,high,not reviewed,
src/data/kururunfa.it.ts,data,data-module,it,kururunfa,high,not reviewed,
src/data/kururunfa.nl.ts,data,data-module,nl,kururunfa,high,not reviewed,
src/data/kururunfa.pt.ts,data,data-module,pt,kururunfa,high,not reviewed,
src/data/media.ts,data,data-module,base,media,high,not reviewed,
src/data/media/stanceImages.ts,data,data-module,base,stanceImages,high,not reviewed,
src/data/newazaData.ts,data,data-module,base,newazaData,high,not reviewed,
src/data/peichurin.pt.ts,data,data-module,pt,peichurin,high,not reviewed,
src/data/saifa.da.ts,data,data-module,da,saifa,high,not reviewed,
src/data/saifa.de.ts,data,data-module,de,saifa,high,not reviewed,
src/data/saifa.en.ts,data,data-module,en,saifa,high,not reviewed,
src/data/saifa.es.ts,data,data-module,es,saifa,high,not reviewed,
src/data/saifa.fr.ts,data,data-module,fr,saifa,high,not reviewed,
src/data/saifa.it.ts,data,data-module,it,saifa,high,not reviewed,
src/data/saifa.nl.ts,data,data-module,nl,saifa,high,not reviewed,
src/data/saifa.pt.ts,data,data-module,pt,saifa,high,not reviewed,
src/data/sanchin.da.ts,data,data-module,da,sanchin,high,not reviewed,
src/data/sanchin.de.ts,data,data-module,de,sanchin,high,not reviewed,
src/data/sanchin.en.ts,data,data-module,en,sanchin,high,not reviewed,
src/data/sanchin.es.ts,data,data-module,es,sanchin,high,not reviewed,
src/data/sanchin.fr.ts,data,data-module,fr,sanchin,high,not reviewed,
src/data/sanchin.it.ts,data,data-module,it,sanchin,high,not reviewed,
src/data/sanchin.nl.ts,data,data-module,nl,sanchin,high,not reviewed,
src/data/sanchin.pt.ts,data,data-module,pt,sanchin,high,not reviewed,
src/data/sanseru.da.ts,data,data-module,da,sanseru,high,not reviewed,
src/data/sanseru.de.ts,data,data-module,de,sanseru,high,not reviewed,
src/data/sanseru.en.ts,data,data-module,en,sanseru,high,not reviewed,
src/data/sanseru.es.ts,data,data-module,es,sanseru,high,not reviewed,
src/data/sanseru.fr.ts,data,data-module,fr,sanseru,high,not reviewed,
src/data/sanseru.it.ts,data,data-module,it,sanseru,high,not reviewed,
src/data/sanseru.nl.ts,data,data-module,nl,sanseru,high,not reviewed,
src/data/sanseru.pt.ts,data,data-module,pt,sanseru,high,not reviewed,
src/data/searchIndex.ts,data,data-module,base,searchIndex,high,not reviewed,
src/data/seiyunchin.da.ts,data,data-module,da,seiyunchin,high,not reviewed,
src/data/seiyunchin.de.ts,data,data-module,de,seiyunchin,high,not reviewed,
src/data/seiyunchin.en.ts,data,data-module,en,seiyunchin,high,not reviewed,
src/data/seiyunchin.es.ts,data,data-module,es,seiyunchin,high,not reviewed,
src/data/seiyunchin.fr.ts,data,data-module,fr,seiyunchin,high,not reviewed,
src/data/seiyunchin.it.ts,data,data-module,it,seiyunchin,high,not reviewed,
src/data/seiyunchin.nl.ts,data,data-module,nl,seiyunchin,high,not reviewed,
src/data/seiyunchin.pt.ts,data,data-module,pt,seiyunchin,high,not reviewed,
src/data/sepai.da.ts,data,data-module,da,sepai,high,not reviewed,
src/data/sepai.de.ts,data,data-module,de,sepai,high,not reviewed,
src/data/sepai.en.ts,data,data-module,en,sepai,high,not reviewed,
src/data/sepai.es.ts,data,data-module,es,sepai,high,not reviewed,
src/data/sepai.fr.ts,data,data-module,fr,sepai,high,not reviewed,
src/data/sepai.it.ts,data,data-module,it,sepai,high,not reviewed,
src/data/sepai.nl.ts,data,data-module,nl,sepai,high,not reviewed,
src/data/sepai.pt.ts,data,data-module,pt,sepai,high,not reviewed,
src/data/sesan.da.ts,data,data-module,da,sesan,high,not reviewed,
src/data/sesan.de.ts,data,data-module,de,sesan,high,not reviewed,
src/data/sesan.en.ts,data,data-module,en,sesan,high,not reviewed,
src/data/sesan.es.ts,data,data-module,es,sesan,high,not reviewed,
src/data/sesan.fr.ts,data,data-module,fr,sesan,high,not reviewed,
src/data/sesan.it.ts,data,data-module,it,sesan,high,not reviewed,
src/data/sesan.nl.ts,data,data-module,nl,sesan,high,not reviewed,
src/data/sesan.pt.ts,data,data-module,pt,sesan,high,not reviewed,
src/data/shisochin.da.ts,data,data-module,da,shisochin,high,not reviewed,
src/data/shisochin.de.ts,data,data-module,de,shisochin,high,not reviewed,
src/data/shisochin.en.ts,data,data-module,en,shisochin,high,not reviewed,
src/data/shisochin.es.ts,data,data-module,es,shisochin,high,not reviewed,
src/data/shisochin.fr.ts,data,data-module,fr,shisochin,high,not reviewed,
src/data/shisochin.it.ts,data,data-module,it,shisochin,high,not reviewed,
src/data/shisochin.nl.ts,data,data-module,nl,shisochin,high,not reviewed,
src/data/shisochin.pt.ts,data,data-module,pt,shisochin,high,not reviewed,
src/data/suparinpei.da.ts,data,data-module,da,suparinpei,high,not reviewed,
src/data/suparinpei.de.ts,data,data-module,de,suparinpei,high,not reviewed,
src/data/suparinpei.en.ts,data,data-module,en,suparinpei,high,not reviewed,
src/data/suparinpei.es.ts,data,data-module,es,suparinpei,high,not reviewed,
src/data/suparinpei.fr.ts,data,data-module,fr,suparinpei,high,not reviewed,
src/data/suparinpei.it.ts,data,data-module,it,suparinpei,high,not reviewed,
src/data/suparinpei.nl.ts,data,data-module,nl,suparinpei,high,not reviewed,
src/data/suparinpei.pt.ts,data,data-module,pt,suparinpei,high,not reviewed,
src/data/techniques.ts,data,data-module,base,techniques,high,not reviewed,
src/data/techniquesData.ts,data,data-module,base,techniquesData,high,not reviewed,
src/data/tensho.pt.ts,data,data-module,pt,tensho,high,not reviewed,
